Week,Python,Java,C++
12/17/2023,70,41,17
12/24/2023,54,32,14
12/31/2023,60,37,15
1/7/2024,74,44,18
1/14/2024,77,45,18
1/21/2024,80,48,19
1/28/2024,89,53,21
2/4/2024,87,54,21
2/11/2024,84,56,20
2/18/2024,85,55,20
2/25/2024,85,52,21
3/3/2024,86,51,21
3/10/2024,83,52,21
3/17/2024,86,51,19
3/24/2024,79,47,19
3/31/2024,81,51,19
4/7/2024,77,45,18
4/14/2024,78,48,19
4/21/2024,71,42,17
